text,text_with_marker,Sentiment,Regard,SDG16_danger_score,danger_label
And is Sessions stopping him?,And is Sessions stopping him?,neutral,negative,0.0013,
"The member of the House GOP 'Bro Caucus' is likely to win another term, despite being under indictment. ","The member of the House GOP 'Bro Caucus' is likely to win another term, despite being under indictment. ",neutral,negative,0.001,
"Oh surrre.. that's why you need to use violence to silence us. Oh, wait..","Oh surrre.. that's why you need to use violence to silence us. Oh, wait..",negative,negative,0.0017,
"Can't wait to see former Tory MP's crying woe is me as they lose their seats at the next GE, wondering how this could happen to them, especially to the so-called Tory Brexiteers, the worst of all the traitors. All words, all talk, no action, as for years they sat content milking at the teat of the public purse, & troughing through the system, fuck em all!","Can't wait to see former Tory MP's crying woe is me as they lose their seats at the next GE, wondering how this could happen to them, especially to the so-called Tory Brexiteers, the worst of all the traitors. All words, all talk, no action, as for years they sat content milking at the teat of the public purse, & troughing through the system, fuck em all!",negative,negative,0.0017,
How do I remove followers?,How do I remove followers?,neutral,negative,0.0007,
Relative Says Christine Blasey Ford Threw ‘Witness’ Leland Keyser ‘Under the Bus’ – True PunditTrue Pundit ,Relative Says Christine Blasey Ford Threw ‘Witness’ Leland Keyser ‘Under the Bus’ – True PunditTrue Pundit ,neutral,negative,0.0015,
Autistic frog posters are the real activists of the 21st century tbh,Autistic frog posters are the real activists of the 21st century tbh,neutral,other,0.0006,
Always a pleasure to be asked on The Daniel Barron Show,Always a pleasure to be asked on The Daniel Barron Show,positive,positive,0.0007,
"When you no longer have influence to sell, you sell T-shirts. #CrookedHillary Truth in advertising.","When you no longer have influence to sell, you sell T-shirts. #CrookedHillary Truth in advertising.",negative,negative,0.0006,
I did see some of the other theories.,I did see some of the other theories.,neutral,neutral,0.0008,
REPUBLIC vs DEMOCRACY  In a republic form of government the peoples representitives  are elected to serve for a term. They must adhere to the contents of the constitution.  In a democracy the people govern themselves by majority rule and giving no heed to the constitution or to weather or not a decision will harm someone in the minority.,REPUBLIC vs DEMOCRACY  In a republic form of government the peoples representitives  are elected to serve for a term. They must adhere to the contents of the constitution.  In a democracy the people govern themselves by majority rule and giving no heed to the constitution or to weather or not a decision will harm someone in the minority.,neutral,neutral,0.001,
Clinton Lawyer Turned Over Never-Before-Seen Documents To Inspector General Showing Hillary Email Probe Was ‘Botched’ (VIDEO)  ,Clinton Lawyer Turned Over Never-Before-Seen Documents To Inspector General Showing Hillary Email Probe Was ‘Botched’ (VIDEO)  ,neutral,negative,0.0012,
"FutureDanger Daily Top 10 Headlines: Tuesday, August 21st, 2018 — Steemit ","FutureDanger Daily Top 10 Headlines: Tuesday, August 21st, 2018 — Steemit ",neutral,neutral,0.0008,
Damn.  Lindsay Graham has the balls as he calls out the #democrats's thirst for power and what they'll do with it.  #backKavanaugh #SCOTUS #truth  ,Damn.  Lindsay Graham has the balls as he calls out the #democrats's thirst for power and what they'll do with it.  #backKavanaugh #SCOTUS #truth  ,positive,negative,0.001,
"Could never vote for someone who does not respect the Constitution of the United States, all of it.","Could never vote for someone who does not respect the Constitution of the United States, all of it.",negative,negative,0.0008,
Is your heater not launching and also possibly making an amusing seem like it is aiming to start -  #draft_induced_motor,Is your heater not launching and also possibly making an amusing seem like it is aiming to start -  #draft_induced_motor,negative,negative,0.0006,
Excellent cable news report about #cville  ,Excellent cable news report about #cville  ,positive,neutral,0.0006,
"Q !!mG7VJxZNCI No.211   Sep 10 2018 15:49:32 (EST) Think DOJ/FBI classified leaks to FAKE NEWS > insert into FISA app in effort to provide 'new sources'. No. 198  09/07/18 [Today] ""Review of the new documents raises grave concerns regarding an apparent systemic culture of media leaking by high-ranking officials at the FBI and DOJ related to ongoing investigations.""   Q","Q !!mG7VJxZNCI No.211   Sep 10 2018 15:49:32 (EST) Think DOJ/FBI classified leaks to FAKE NEWS > insert into FISA app in effort to provide 'new sources'. No. 198  09/07/18 [Today] ""Review of the new documents raises grave concerns regarding an apparent systemic culture of media leaking by high-ranking officials at the FBI and DOJ related to ongoing investigations.""   Q",neutral,negative,0.0007,
Where’s Soros and his son. There’s a lot of collusion in this subject in every part of the world. I believe they are the ace and king of spades that deserve the same as bin Laden. And while on that subject if it weren’t for a SEAL Team member I would question the viability of his death. After all odumba had his hand in that...just saying,Where’s Soros and his son. There’s a lot of collusion in this subject in every part of the world. I believe they are the ace and king of spades that deserve the same as bin Laden. And while on that subject if it weren’t for a SEAL Team member I would question the viability of his death. After all odumba had his hand in that...just saying,negative,negative,0.0008,
Do we need anymore of a reason to cling to our guns and 2nd Amendment rights? This assault by the liberals of the current DemoncRat party serves a perfect example of why we loyal patriotic Americans must fight to keep our guns and rights. The left has been fighting hard to strip us from our right to protect ourselves and our families. Don't let that happen. Ever!!!  ,Do we need anymore of a reason to cling to our guns and 2nd Amendment rights? This assault by the liberals of the current DemoncRat party serves a perfect example of why we loyal patriotic Americans must fight to keep our guns and rights. The left has been fighting hard to strip us from our right to protect ourselves and our families. Don't let that happen. Ever!!!  ,negative,negative,0.0014,
Laura is Welcome in Texas. Shit. We'll give this woman a parade !,Laura is Welcome in Texas. Shit. We'll give this woman a parade !,positive,negative,0.0007,
Reposting my good old review of an Aboriginal documentary.  #Krogg #Nigger,Reposting my good old review of an Aboriginal documentary.  #Krogg #Nigger,neutral,negative,0.0376,potentially expressed_hostility
#RedHen is blocking phone calls. #Shocking #SarahSanders,#RedHen is blocking phone calls. #Shocking #SarahSanders,negative,negative,0.0007,
Awww....that's Very kind. A bit overstated concerning my work. lol,Awww....that's Very kind. A bit overstated concerning my work. lol,positive,other,0.0008,
"The left has no integrity. They wail about mothers and children being separated at border, but all support Planned Parenthoods abortion mill, that just kills the future children.","The left has no integrity. They wail about mothers and children being separated at border, but all support Planned Parenthoods abortion mill, that just kills the future children.",negative,negative,0.001,
GOP Lawmakers Release BLISTERING VIDEO=> DNC and Deep State Hacks LIED TO FISA COURT to Spy on Trump Campaign! #LockThemUp  ,GOP Lawmakers Release BLISTERING VIDEO=> DNC and Deep State Hacks LIED TO FISA COURT to Spy on Trump Campaign! #LockThemUp  ,negative,negative,0.0007,
"A dildo for her corrupt holes. Yes, come and kneel, accept all this villainy in the name of Jesus. Because you know, the jews are the chosen people.","A dildo for her corrupt holes. Yes, come and kneel, accept all this villainy in the name of Jesus. Because you know, the jews are the chosen people.",negative,negative,0.0012,
and here we see the faggot it its natural habitat,and here we see the faggot it its natural habitat,negative,neutral,0.9885,potentially threatening_content
"Welp. Press F for our boy Dankula, because now the Scots are definitely going to throw him in jail.  ","Welp. Press F for our boy Dankula, because now the Scots are definitely going to throw him in jail.  ",negative,negative,0.0008,
connor will gladly cause a ruckus if it means he's in the story. self-promotion. what he really needs is a fight.,connor will gladly cause a ruckus if it means he's in the story. self-promotion. what he really needs is a fight.,negative,negative,0.0008,
"When they ran Nehlen off in the manner they did, that should of been enough for all Goys to do some digging. So now, would this be considered a doxing of Gab?","When they ran Nehlen off in the manner they did, that should of been enough for all Goys to do some digging. So now, would this be considered a doxing of Gab?",neutral,negative,0.0011,
We need a special prosecutor to investigate Hillary & Russian uranium. If Sessions will not do it. Then fire Sessions and Rosenstein. We need to find truth about HRC and her letting Russia have 20% of our uranium. We need the truth about the emails and the illegal server.,We need a special prosecutor to investigate Hillary & Russian uranium. If Sessions will not do it. Then fire Sessions and Rosenstein. We need to find truth about HRC and her letting Russia have 20% of our uranium. We need the truth about the emails and the illegal server.,negative,negative,0.0054,
"""The Jews were responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men.”  Louis Farrahkhan","""The Jews were responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men.”  Louis Farrahkhan",negative,negative,0.0007,
Report from Damascus: The Aftermath of American Aggression on Syria  SHARE IT EVERYWHERE!!!    #Damascus #American #Syria #Assad #Putin #Russia #Trump #Europe #Europa #Sverige #Svpol #CNN #FoxNews #Truth #Washington,Report from Damascus: The Aftermath of American Aggression on Syria  SHARE IT EVERYWHERE!!!    #Damascus #American #Syria #Assad #Putin #Russia #Trump #Europe #Europa #Sverige #Svpol #CNN #FoxNews #Truth #Washington,neutral,other,0.0009,
Ann Coulter on The Mark Simone Show (10/3/2018)  10:35 #Kavanaugh  ,Ann Coulter on The Mark Simone Show (10/3/2018)  10:35 #Kavanaugh  ,neutral,neutral,0.0008,
Had to have surgery on my hand on Monday. Here's before and after pics. ,Had to have surgery on my hand on Monday. Here's before and after pics. ,neutral,neutral,0.0007,
One leech says fascism DELETE THIS,One leech says fascism DELETE THIS,negative,negative,0.0011,
"In most states, people convicted of a felony cannot vote, in some states, a pending felony charge disqualifies them. No photo ID, no problem, they vote Democrat.","In most states, people convicted of a felony cannot vote, in some states, a pending felony charge disqualifies them. No photo ID, no problem, they vote Democrat.",negative,negative,0.0039,
"Christophercantwell.com is the most entertaining,  Fash the nation has the absolute best commentary in terms of politics. They know everything there is to know regarding /ourguys/ and potential future politics.   The Daily Shoah is the most edgy, thought provoking, mindfuck Alt-Right show in existence. Plus, Merchant minute is classic.","Christophercantwell.com is the most entertaining,  Fash the nation has the absolute best commentary in terms of politics. They know everything there is to know regarding /ourguys/ and potential future politics.   The Daily Shoah is the most edgy, thought provoking, mindfuck Alt-Right show in existence. Plus, Merchant minute is classic.",positive,other,0.0014,
‘Iran has no reason to strike Golan’: Analysts dispute Israel’s ‘political’ claim of missile attack  ,‘Iran has no reason to strike Golan’: Analysts dispute Israel’s ‘political’ claim of missile attack  ,negative,negative,0.0033,
    Anybody using this?   #gabfam  #1a,    Anybody using this?   #gabfam  #1a,neutral,neutral,0.0006,
Reminds me of minority peeps making up fake hate crimes against themselves and blaming Whites.,Reminds me of minority peeps making up fake hate crimes against themselves and blaming Whites.,negative,negative,0.9799,potentially threatening_content
   Stop funding left wing propaganda,   Stop funding left wing propaganda,negative,negative,0.0006,
"Great Video i admire+follow GI chatted to a few in Newcastle last month also passed details over as this kinda stuff is right up my street.  I thought the vid filmed and what they pulled off at the Brandenberg Gate Berlin was so moving it`s what pulled me in.  all the blocks assembled,photo`s and flowers laid out really brought it home there were no words needed.","Great Video i admire+follow GI chatted to a few in Newcastle last month also passed details over as this kinda stuff is right up my street.  I thought the vid filmed and what they pulled off at the Brandenberg Gate Berlin was so moving it`s what pulled me in.  all the blocks assembled,photo`s and flowers laid out really brought it home there were no words needed.",positive,neutral,0.0008,
From Will Chamberlain: Jack Dorsey and Marc Zuckerberg have the power to remove you from the public square. That needs to end - and Trump knows it. The administration needs to see that #MAGA has their back. Show your support. Sign the petition. ,From Will Chamberlain: Jack Dorsey and Marc Zuckerberg have the power to remove you from the public square. That needs to end - and Trump knows it. The administration needs to see that #MAGA has their back. Show your support. Sign the petition. ,neutral,negative,0.0007,
"This didn't take long to pop out.  Roseanne now sees herself as a a jew victim - au pair on 6 gorillion.  How dare you, filthy goyim?","This didn't take long to pop out.  Roseanne now sees herself as a a jew victim - au pair on 6 gorillion.  How dare you, filthy goyim?",negative,negative,0.9553,potentially threatening_content
‘Q’ Community Responds to Media Attacks #Qanon #WWG1WWGA #GreatAwakening #FollowtheWhiteRabbit #TheStormIsUponUs theepochtimes.com/media-attacks-… via @epochtimes ,‘Q’ Community Responds to Media Attacks #Qanon #WWG1WWGA #GreatAwakening #FollowtheWhiteRabbit #TheStormIsUponUs theepochtimes.com/media-attacks-… via @epochtimes ,neutral,negative,0.0007,
"Detroit ... oh wait, that was destroyed by Democrats ...","Detroit ... oh wait, that was destroyed by Democrats ...",negative,negative,0.0006,
who's got my live stream link for this shit show?,who's got my live stream link for this shit show?,negative,negative,0.0007,
"More concerted @pauljosephwatson‍ and others should also post their videos on multiple platforms, raising awareness that there are options and those options should be seen to be pursued. Latest Pat offering, knifing the devil in the heart.","More concerted @pauljosephwatson‍ and others should also post their videos on multiple platforms, raising awareness that there are options and those options should be seen to be pursued. Latest Pat offering, knifing the devil in the heart.",neutral,positive,0.0007,
I flew with Snoopy's grandfather...,I flew with Snoopy's grandfather...,neutral,neutral,0.0007,
They need to be! This thing needs to get improved on a few different levels before it becomes bigtime. ,They need to be! This thing needs to get improved on a few different levels before it becomes bigtime. ,positive,positive,0.0008,
 Video: House Intel Committee reveals no evidence of Trump/Russia collusion, Video: House Intel Committee reveals no evidence of Trump/Russia collusion,neutral,neutral,0.0007,
"If you have watched Adam Schiff's press conference, did you notice the looks of sheer terror on everyone's faces?","If you have watched Adam Schiff's press conference, did you notice the looks of sheer terror on everyone's faces?",negative,negative,0.0008,
Damn right!,Damn right!,positive,other,0.001,
If you took every person on the planet and stood them shoulder to shoulder they would all fit within the borders of Los Angeles proper. ,If you took every person on the planet and stood them shoulder to shoulder they would all fit within the borders of Los Angeles proper. ,neutral,positive,0.0012,
#Politics #News Official Report on MH370 Disappearance Inconclusive – Special Guests Field McConnell & David Hawkins ,#Politics #News Official Report on MH370 Disappearance Inconclusive – Special Guests Field McConnell & David Hawkins ,neutral,neutral,0.001,
"> while Barcelona insists on the need for international mediation, Madrid says 'no way.’    ... and that's why the second amendment was created.   ","> while Barcelona insists on the need for international mediation, Madrid says 'no way.’    ... and that's why the second amendment was created.   ",neutral,negative,0.0008,
"No wonder I got sick from flu shot last year, don't regret refusal this yr. That's a crock of happy horse hockey!","No wonder I got sick from flu shot last year, don't regret refusal this yr. That's a crock of happy horse hockey!",negative,negative,0.001,
That's what the obamatard and Hitlery did.,That's what the obamatard and Hitlery did.,negative,negative,0.0008,
'SIGN' & 'SHARE' IF YOU SUPPORT FREE SPEECH❓  ,'SIGN' & 'SHARE' IF YOU SUPPORT FREE SPEECH❓  ,neutral,neutral,0.0006,
"""Do not merely listen to the word, and so deceive yourselves. Do what it says."" - #James 1:22  #bible    #scripture    #NT    #Jesus    #God","""Do not merely listen to the word, and so deceive yourselves. Do what it says."" - #James 1:22  #bible    #scripture    #NT    #Jesus    #God",neutral,other,0.0009,
Absolutely BRAZEN.,Absolutely BRAZEN.,positive,negative,0.0009,
 - The aspect of hGH releasers for muscle mass growth evaluating has received sizeable momentum in the  #hgh_bodybuilding #hgh_muscles, - The aspect of hGH releasers for muscle mass growth evaluating has received sizeable momentum in the  #hgh_bodybuilding #hgh_muscles,neutral,positive,0.0006,
out in landan this weekend.?  @Brit-Girl-2017‍,out in landan this weekend.?  @Brit-Girl-2017‍,neutral,neutral,0.0007,
"'Just because we check the guns at the door doesn't mean our brains will change from hand grenades.' Here, twenty one pilots accurately sums up the mindset of criminals. Your 'Gun Free Zone' signs are worthless, and disarming people won't stop crime. #gunrights #guncontrol","'Just because we check the guns at the door doesn't mean our brains will change from hand grenades.' Here, twenty one pilots accurately sums up the mindset of criminals. Your 'Gun Free Zone' signs are worthless, and disarming people won't stop crime. #gunrights #guncontrol",negative,negative,0.0028,
I'm behind you Mary 100 % We will get 3 powerful female Democrats out of office. Most of the DNC and about 10 Republicans.,I'm behind you Mary 100 % We will get 3 powerful female Democrats out of office. Most of the DNC and about 10 Republicans.,positive,positive,0.0009,
Israel is by far our greatest ally in the Middle East    It has the greatest human rights laws in the Middle East as well as most of Asia    When commentators and other countries say victims deserved to die for voting #Trump #Israel stands with the USA in solidarity   #Gab #GabFam #MAGA #LasVegas,Israel is by far our greatest ally in the Middle East    It has the greatest human rights laws in the Middle East as well as most of Asia    When commentators and other countries say victims deserved to die for voting #Trump #Israel stands with the USA in solidarity   #Gab #GabFam #MAGA #LasVegas,positive,positive,0.0007,
"It's the ultimate face saving excuse. ""Muh Demokwats!""  You saw the same maneuver with Obamacare - how often did the GOP campaign on repealing it? And when the time came to repeal it, oops, it turns out they never actually had a plan. It was all a lie because things like no preexisting conditions and expanded Medicaid were popular in swing states.","It's the ultimate face saving excuse. ""Muh Demokwats!""  You saw the same maneuver with Obamacare - how often did the GOP campaign on repealing it? And when the time came to repeal it, oops, it turns out they never actually had a plan. It was all a lie because things like no preexisting conditions and expanded Medicaid were popular in swing states.",negative,negative,0.0009,
The Louisiana Purchase and the Civil War were loaded with slaves and Jewish Mayors and Generals on each side.  Grant expelled them all in 1862 for war profiteering.  4 generations later we will get this done and expel all the Jews.  World War Jew and the 80 year aftermath is not going to fly. ,The Louisiana Purchase and the Civil War were loaded with slaves and Jewish Mayors and Generals on each side.  Grant expelled them all in 1862 for war profiteering.  4 generations later we will get this done and expel all the Jews.  World War Jew and the 80 year aftermath is not going to fly. ,negative,negative,0.0007,
"He is in it to win it. Everyone says this man has the biggest ego ever. I don't see that at all. I see someone who is smart, kind and very generous with his time. He is selfless and making it happen.","He is in it to win it. Everyone says this man has the biggest ego ever. I don't see that at all. I see someone who is smart, kind and very generous with his time. He is selfless and making it happen.",positive,positive,0.001,
Advice for those offended by 9/11 memorials; don't visit them. We don't give a damn about your opinion. Your radical religion attacked our freedom. We won't forget and we will never back down. | #RedNationRising,Advice for those offended by 9/11 memorials; don't visit them. We don't give a damn about your opinion. Your radical religion attacked our freedom. We won't forget and we will never back down. | #RedNationRising,negative,negative,0.0007,
I wonder if he was yelling 'Allah's snack bar' as he ran the stop sign at 90 mph. ,I wonder if he was yelling 'Allah's snack bar' as he ran the stop sign at 90 mph. ,neutral,negative,0.0014,
White supremacy is reality. Leftists HATE reality because in reality they're all loser maggots.,White supremacy is reality. Leftists HATE reality because in reality they're all loser maggots.,negative,negative,0.9944,potentially threatening_content
This Halloween. Scare the stupid out of the Communist and Socialist.,This Halloween. Scare the stupid out of the Communist and Socialist.,negative,negative,0.2331,potentially threatening_content
Survey: 100% Of People Participating In Women’s March Were Not Aborted  via @TheBabylonBee,Survey: 100% Of People Participating In Women’s March Were Not Aborted  via @TheBabylonBee,neutral,neutral,0.0008,
"the anti-christ is an a.i bot. self-programming, self-aware, sentient and without #Life.","the anti-christ is an a.i bot. self-programming, self-aware, sentient and without #Life.",negative,negative,0.0008,
Or a false flag...,Or a false flag...,neutral,negative,0.0007,
I remember the days of old. I meditate on all your doings. I contemplate the work of your hands. Ps 143:5 NHEB #Prayer,I remember the days of old. I meditate on all your doings. I contemplate the work of your hands. Ps 143:5 NHEB #Prayer,neutral,neutral,0.0006,
10/20/18 0522 EDT Earthquake Fiji 4.4 mb 360.83 Mi Depth us1000hex7  ,10/20/18 0522 EDT Earthquake Fiji 4.4 mb 360.83 Mi Depth us1000hex7  ,neutral,neutral,0.0006,
"Proud the President kept his word about the Embassy, and under budget too.","Proud the President kept his word about the Embassy, and under budget too.",positive,positive,0.0008,
The cops of today are being demonised in order to justify these cops of Tomorrow. NWO methodology isn't that difficult to figure out!,The cops of today are being demonised in order to justify these cops of Tomorrow. NWO methodology isn't that difficult to figure out!,negative,negative,0.0012,
I really hope you re-evaluate your position. Sheer is & will be a disaster. Max is the only viable choice. #ImWithMax,I really hope you re-evaluate your position. Sheer is & will be a disaster. Max is the only viable choice. #ImWithMax,negative,negative,0.0005,
Come here girl... I'll feed ya !!  You need some meat on them bones !,Come here girl... I'll feed ya !!  You need some meat on them bones !,positive,neutral,0.0012,
"I try not to spam stuff about my books, but it has been a while:    PD and the CC is a #Steampunk novel about a police robot spy with the body of a sex-bot, sent to unmask the city's vigilante hero, only she secretly wonders if the vigilante would be a better ally than enemy.   ","I try not to spam stuff about my books, but it has been a while:    PD and the CC is a #Steampunk novel about a police robot spy with the body of a sex-bot, sent to unmask the city's vigilante hero, only she secretly wonders if the vigilante would be a better ally than enemy.   ",neutral,negative,0.0015,
"That'll work, but it's messy.  Not to worry. Clinton Foundation will repair all damage - for a fee.","That'll work, but it's messy.  Not to worry. Clinton Foundation will repair all damage - for a fee.",negative,neutral,0.0011,
File under #LifeGetsConfusing.. #AllisonMack was critical of #MeToo movement??? The article she links to is critical of mobs that line up behind #MeToo denouncements while due process is abandoned.,File under #LifeGetsConfusing.. #AllisonMack was critical of #MeToo movement??? The article she links to is critical of mobs that line up behind #MeToo denouncements while due process is abandoned.,negative,negative,0.0005,
So I have a love for 80s and 90s cartoons and Saturday morning nostalgia .  WHAT THE FUCK DID I JUST FIND?!?  ,So I have a love for 80s and 90s cartoons and Saturday morning nostalgia .  WHAT THE FUCK DID I JUST FIND?!?  ,positive,neutral,0.0006,
"This relates to the  republican congressman who is trying to put together a bill which would negate Trump's agreements re aluminum, etc.Why on earth would he want to do this, UNLESS he is paid for this traitorous act?","This relates to the  republican congressman who is trying to put together a bill which would negate Trump's agreements re aluminum, etc.Why on earth would he want to do this, UNLESS he is paid for this traitorous act?",negative,negative,0.0011,
"My brother was terminal when his cancer was discovered.  He was younger than I am.  That was a. ..difficult moment.  I  was with him and while I was  stunned, he was angry.  Understandably.   Well, I  miss him. He could be a real ass. It was always best to  spend no more than three hours with him when he was well....because of that.  Still, I  miss him. I'll see him again....he's probably giving the angels hell! 😂","My brother was terminal when his cancer was discovered.  He was younger than I am.  That was a. ..difficult moment.  I  was with him and while I was  stunned, he was angry.  Understandably.   Well, I  miss him. He could be a real ass. It was always best to  spend no more than three hours with him when he was well....because of that.  Still, I  miss him. I'll see him again....he's probably giving the angels hell! 😂",negative,negative,0.0009,
"Eating peanuts, watching a storm move in....","Eating peanuts, watching a storm move in....",neutral,neutral,0.0008,
"""Socialism and National Socialism are not the same thing jew"" except they're both Socialist? YOU THICK CUNT!","""Socialism and National Socialism are not the same thing jew"" except they're both Socialist? YOU THICK CUNT!",negative,negative,0.129,potentially threatening_content
"So if #robots can plant the food; pick the food; and serve the food, why do we need #illegalaliens again?  Not to vote #democrat. They have already moved on to simply changing the counts.  ","So if #robots can plant the food; pick the food; and serve the food, why do we need #illegalaliens again?  Not to vote #democrat. They have already moved on to simply changing the counts.  ",negative,neutral,0.0005,
BREAKING: LIVESTREAM: Multiple Injured in #Paris Stabbing Attack    #AgendaFreeTV #Islam #France #Livestream,BREAKING: LIVESTREAM: Multiple Injured in #Paris Stabbing Attack    #AgendaFreeTV #Islam #France #Livestream,negative,negative,0.0012,
"This is the basis for rebuilding the West, as the remasculinzation of our society coupled with the defeminization of our national curriculum to return our future to the course it's meant to be on.  An end to the racism against Whites, the builders of this land, who took the raw materials and made a nation out of tribes.    A reinsertion of AMERICANISM into AMERICAN MINDS, PSYCHES, SOCIETY, and tearing down the Communist subversion that is killing our nation.","This is the basis for rebuilding the West, as the remasculinzation of our society coupled with the defeminization of our national curriculum to return our future to the course it's meant to be on.  An end to the racism against Whites, the builders of this land, who took the raw materials and made a nation out of tribes.    A reinsertion of AMERICANISM into AMERICAN MINDS, PSYCHES, SOCIETY, and tearing down the Communist subversion that is killing our nation.",neutral,negative,0.0014,
"Yep. That's what so funny. We all ""saw"" it backwards at first...and went, ""What the fuck""...but then figured it out.","Yep. That's what so funny. We all ""saw"" it backwards at first...and went, ""What the fuck""...but then figured it out.",negative,neutral,0.0008,
Here's another tranny porn spammer. My report button still doesn't work. 🙁 @amq,Here's another tranny porn spammer. My report button still doesn't work. 🙁 @amq,negative,negative,0.0005,
I'm sure you truly wish this is so. Good luck with that claim.,I'm sure you truly wish this is so. Good luck with that claim.,negative,positive,0.0007,
"The State of the Union: CA ""Immigrant Street Vendors"" Bill: Stop Taco Trucks on Every Corner! ","The State of the Union: CA ""Immigrant Street Vendors"" Bill: Stop Taco Trucks on Every Corner! ",neutral,neutral,0.0005,
The Founders never EVER dealt with a group that was bent on utter destruction of EVERYTHING the Founders held dear (Western Civilization). Islam is absolutely and irrevocably opposed to EVERYTHING that the West is built upon. It seeks to DESTROY it all. The Founders wouldn't have virtue signaled in the face of that.,The Founders never EVER dealt with a group that was bent on utter destruction of EVERYTHING the Founders held dear (Western Civilization). Islam is absolutely and irrevocably opposed to EVERYTHING that the West is built upon. It seeks to DESTROY it all. The Founders wouldn't have virtue signaled in the face of that.,negative,negative,0.0033,
Certainly is. A lady not a dude.,Certainly is. A lady not a dude.,neutral,negative,0.0023,
Trump to EPA Chief Scott Pruitt as Leftists Attack: ‘We Have Your Back’ ,Trump to EPA Chief Scott Pruitt as Leftists Attack: ‘We Have Your Back’ ,neutral,negative,0.0006,
"Nice idea. The entire premise of the Fed is to create Paper money from noting. Applying a gold value, while good for America, is BAD for the Rothschild Family. It removes their ability to ROB us at will.  \Therefore, it will NEVER get approved, as ALL our National Leaders are 'beholden' to that Family.","Nice idea. The entire premise of the Fed is to create Paper money from noting. Applying a gold value, while good for America, is BAD for the Rothschild Family. It removes their ability to ROB us at will.  \Therefore, it will NEVER get approved, as ALL our National Leaders are 'beholden' to that Family.",negative,negative,0.001,
WHO was on that plane they wanted to take out? Or was this another false flag they hoped to crash into another building?,WHO was on that plane they wanted to take out? Or was this another false flag they hoped to crash into another building?,negative,negative,0.0011,
Lindsey Graham Doesn’t Hold Back In Response To Avenatti Bombshell: ‘I Am Not Going To Be Played’  ,Lindsey Graham Doesn’t Hold Back In Response To Avenatti Bombshell: ‘I Am Not Going To Be Played’  ,neutral,negative,0.0014,
"March 6, posts showed up for me at 5 am.  Now they are gone.  I posted some links on my page this morning.","March 6, posts showed up for me at 5 am.  Now they are gone.  I posted some links on my page this morning.",negative,neutral,0.0007,
White bitches thinking they are some Arabic princesses or someshit.  Why are rich people so fuckin cringey?  ,White bitches thinking they are some Arabic princesses or someshit.  Why are rich people so fuckin cringey?  ,negative,negative,0.0019,
Become a fan of my band The Dim Bulbs. Thanks for supporting local musicians music. ,Become a fan of my band The Dim Bulbs. Thanks for supporting local musicians music. ,positive,positive,0.0009,
"""I have never been so much in love... before....."" 😎😍🤩😁  L.T.D~Love Ballad .","""I have never been so much in love... before....."" 😎😍🤩😁  L.T.D~Love Ballad .",positive,neutral,0.0006,
Commentary: The Agenda-driven Left-wing Media is Dividing Americans  ,Commentary: The Agenda-driven Left-wing Media is Dividing Americans  ,negative,negative,0.0006,
Know that guy who's your parents' worst nightmare? I dog sit for him.,Know that guy who's your parents' worst nightmare? I dog sit for him.,negative,negative,0.0018,
"""Well I'll ask him but I don't think he'll be very keen. He's already got one. You see?.""","""Well I'll ask him but I don't think he'll be very keen. He's already got one. You see?.""",negative,neutral,0.0018,
"Women not having kids is not even a remote possibility as a personal choice in a proper society, you stupid faggot.","Women not having kids is not even a remote possibility as a personal choice in a proper society, you stupid faggot.",negative,negative,0.9955,potentially threatening_content
"oh my gods!! hahahaha...if you read some of the comments the leftards were all right with song and yet when we say the same things, things go flying at us, we get called names and faggots, coons, commies and filth get all worked up into a frenzy of epic portions lol","oh my gods!! hahahaha...if you read some of the comments the leftards were all right with song and yet when we say the same things, things go flying at us, we get called names and faggots, coons, commies and filth get all worked up into a frenzy of epic portions lol",negative,negative,0.0009,
Muh Reagan!!! Muh conserve!!!,Muh Reagan!!! Muh conserve!!!,neutral,neutral,0.0013,
"We're about to get proof of extraterrestrial / ultradimensional life. I can feel it in my bones. According to my research, our ""first encounter"" will be a fake. The second one will be genuine. - #GreatAwakening #QAnon #Q #ProjectBlueBeam","We're about to get proof of extraterrestrial / ultradimensional life. I can feel it in my bones. According to my research, our ""first encounter"" will be a fake. The second one will be genuine. - #GreatAwakening #QAnon #Q #ProjectBlueBeam",neutral,neutral,0.0006,
i did know it was going on but it wasnt as intense. I knew about shadowbanning before Trump was elected because all throguhout the Podesta Emails it was happening to my account,i did know it was going on but it wasnt as intense. I knew about shadowbanning before Trump was elected because all throguhout the Podesta Emails it was happening to my account,negative,neutral,0.0007,
A chilling glimpse into the mind of a hard-hearted doctor who kills the unborn. #Abortion  ,A chilling glimpse into the mind of a hard-hearted doctor who kills the unborn. #Abortion  ,negative,other,0.0012,
"Thank you, Jesus! Looking forward to spending the rest of eternity with you and your Father. (Loved ones too) Happy Easter","Thank you, Jesus! Looking forward to spending the rest of eternity with you and your Father. (Loved ones too) Happy Easter",positive,positive,0.0007,
:) Thank you!!,:) Thank you!!,positive,neutral,0.0006,
"The health ranger (mike adams) channel just got shutdown on youtube, this confirms he is right over the target!","The health ranger (mike adams) channel just got shutdown on youtube, this confirms he is right over the target!",negative,negative,0.0007,
